PopId,Block,RILSet,Dormancy,Envt,Totalrosettes,Year
A_0,1,Italy x Sweden,Dormant,Litter,54,1
A_1,1,Germany x Tajikistan,Dormant,Control,18,1
A_10,3,Italy x Sweden,Non-Dormant,Litter,1,1
A_11,3,UK x USA,Dormant,Control,0,1
A_12,3,Germany x Tajikistan,Mixed,Control,0,1
A_2,1,UK x USA,Dormant,Control,1,1
A_3,1,Italy x Sweden,Non-Dormant,Litter,157,1
A_4,1,Italy x Sweden,Mixed,High Humidity,105,1
A_5,2,Italy x Sweden,Mixed,Litter,4,1
A_6,2,Germany x Tajikistan,Dormant,Litter,0,1
A_7,2,Italy x Sweden,Mixed,Native Soil,38,1
A_8,2,UK x USA,Mixed,Control,6,1
A_9,3,Italy x Sweden,Dormant,Native Soil,12,1
B_0,1,Italy x Sweden,Dormant,Native Soil,9,1
B_1,1,Italy x Sweden,Mixed,Control,13,1
B_10,3,UK x USA,Non-Dormant,Control,0,1
B_11,3,Italy x Sweden,Non-Dormant,Native Soil,22,1
B_12,3,Italy x Sweden,Mixed,Native Soil,26,1
B_13,3,Italy x Sweden,Dormant,Litter,0,1
B_2,1,Italy x Sweden,Non-Dormant,High Humidity,262,1
B_3,1,Germany x Tajikistan,Non-Dormant,Control,0,1
B_4,1,Italy x Sweden,Dormant,High Humidity,43,1
B_5,2,UK x USA,Dormant,Control,0,1
B_6,2,Italy x Sweden,Non-Dormant,High Humidity,9,1
B_7,2,Italy x Sweden,Mixed,Control,11,1
B_8,2,Germany x Tajikistan,Non-Dormant,Control,1,1
B_9,3,UK x USA,Mixed,Control,0,1
C_0,1,Germany x Tajikistan,Non-Dormant,Litter,2,1
C_1,1,Italy x Sweden,Dormant,Control,7,1
C_10,3,Italy x Sweden,Dormant,High Humidity,1,1
C_11,3,Germany x Tajikistan,Non-Dormant,Litter,0,1
C_12,3,Germany x Tajikistan,Dormant,Control,0,1
C_13,3,Italy x Sweden,Mixed,High Humidity,1,1
C_2,1,Italy x Sweden,Non-Dormant,Control,1,1
C_3,1,Italy x Sweden,Mixed,Litter,11,1
C_4,1,Germany x Tajikistan,Dormant,Litter,5,1
C_5,2,UK x USA,Non-Dormant,Control,0,1
C_6,2,Germany x Tajikistan,Dormant,Control,1,1
C_7,2,Italy x Sweden,Dormant,Control,0,1
C_9,3,Italy x Sweden,Mixed,Control,0,1
D_0,1,UK x USA,Mixed,Control,35,1
D_1,1,Germany x Tajikistan,Mixed,Control,0,1
D_10,3,Italy x Sweden,Mixed,Litter,0,1
D_11,3,Germany x Tajikistan,Non-Dormant,Control,0,1
D_12,3,Germany x Tajikistan,Dormant,Litter,0,1
D_13,3,Italy x Sweden,Dormant,Control,4,1
